LTSBelyaks1,202,15,1,4,50,1,2,0
LTSNex,229,17,1,10,54,3,2,1
LTSNitro,214,1,13,8,51,1,0,0
LTSWanted,220,15,12,1,63,2,2,0
LTSmichey,245,17,9,3,64,7,0,1
RVBALJEED,189,1,16,10,45,0,3,1
RVRxYalL,203,14,13,1,70,1,0,0
RVVarlas,148,8,16,8,45,1,1,0
RVYoungOne,187,12,13,4,50,0,1,0
RVquantumrino,198,1,17,2,52,3,0,0
